Batch,Measure Names,Provinsi,Achievement % Vaksin1,Divaksin 1,Target
USIA 12 - 17 TAHUN,Target,Sulawesi Utara,,,"245,339"
USIA 12 - 17 TAHUN,Target,Sumatera Barat,,,"589,723"
USIA 12 - 17 TAHUN,Target,Sumatera Selatan,,,"846,683"
USIA 12 - 17 TAHUN,Target,Sumatera Utara,,,"1,586,864"
USIA 12 - 17 TAHUN,Target,Yogyakarta,,,"311,596"
LANSIA,Vaksinasi Dosis 1,Aceh,6.07%,"20,600","339,125"
LANSIA,Vaksinasi Dosis 1,Bali,56.84%,"258,561","454,904"
LANSIA,Vaksinasi Dosis 1,Bangka Belitung,25.81%,"24,744","95,863"
LANSIA,Vaksinasi Dosis 1,Banten,20.81%,"133,926","643,607"
LANSIA,Vaksinasi Dosis 1,Bengkulu,22.81%,"30,443","133,450"
LANSIA,Vaksinasi Dosis 1,Gorontalo,10.74%,"8,258","76,882"
LANSIA,Vaksinasi Dosis 1,Jakarta Raya,82.39%,"627,244","761,279"
LANSIA,Vaksinasi Dosis 1,Jambi,27.59%,"61,317","222,250"
LANSIA,Vaksinasi Dosis 1,Jawa Barat,19.00%,"647,548","3,408,940"
LANSIA,Vaksinasi Dosis 1,Jawa Tengah,31.78%,"1,169,803","3,681,475"
LANSIA,Vaksinasi Dosis 1,Jawa Timur,22.39%,"970,928","4,335,549"
LANSIA,Vaksinasi Dosis 1,Kalimantan Barat,10.63%,"37,271","350,692"
LANSIA,Vaksinasi Dosis 1,Kalimantan Selatan,9.67%,"25,012","258,552"
LANSIA,Vaksinasi Dosis 1,Kalimantan Tengah,43.91%,"61,927","141,016"
LANSIA,Vaksinasi Dosis 1,Kalimantan Timur,27.28%,"51,707","189,533"
LANSIA,Vaksinasi Dosis 1,Kalimantan Utara,23.28%,"7,740","33,254"
LANSIA,Vaksinasi Dosis 1,Kepulauan Riau,41.94%,"36,541","87,128"
LANSIA,Vaksinasi Dosis 1,Lampung,7.31%,"51,499","704,246"
LANSIA,Vaksinasi Dosis 1,Maluku,12.03%,"15,315","127,308"
LANSIA,Vaksinasi Dosis 1,Maluku Utara,5.48%,"4,074","74,323"
LANSIA,Vaksinasi Dosis 1,Nusa Tenggara Barat,17.02%,"62,652","368,117"
LANSIA,Vaksinasi Dosis 1,Nusa Tenggara Timur,9.51%,"38,585","405,566"
LANSIA,Vaksinasi Dosis 1,Papua,6.04%,"10,717","177,361"
LANSIA,Vaksinasi Dosis 1,Papua Barat,7.58%,"3,855","50,834"
LANSIA,Vaksinasi Dosis 1,Riau,16.65%,"53,692","322,466"
LANSIA,Vaksinasi Dosis 1,Sulawesi Barat,8.40%,"7,490","89,146"
LANSIA,Vaksinasi Dosis 1,Sulawesi Selatan,12.08%,"91,039","753,919"
LANSIA,Vaksinasi Dosis 1,Sulawesi Tengah,9.53%,"18,738","196,628"
LANSIA,Vaksinasi Dosis 1,Sulawesi Tenggara,8.23%,"12,953","157,296"
LANSIA,Vaksinasi Dosis 1,Sulawesi Utara,29.12%,"75,552","259,465"
LANSIA,Vaksinasi Dosis 1,Sumatera Barat,5.04%,"24,694","489,575"
LANSIA,Vaksinasi Dosis 1,Sumatera Selatan,17.63%,"105,234","597,071"
LANSIA,Vaksinasi Dosis 1,Sumatera Utara,21.46%,"234,699","1,093,446"
LANSIA,Vaksinasi Dosis 1,Yogyakarta,51.85%,"245,181","472,852"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Aceh,7.01%,"180,808","2,577,792"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Bali,44.98%,"979,620","2,177,755"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Bangka Belitung,6.15%,"48,597","789,856"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Banten,5.91%,"406,432","6,877,059"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Bengkulu,5.90%,"60,958","1,034,038"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Gorontalo,8.18%,"50,751","620,792"
