Kabupaten (group),Provinsi,pencapaian vaksin,Geo_Kab,Dosis Vaksin,Latitude (generated),Longitude (generated),Dosis Vaksin,Peserta Vaksinasi,Target
Kota Medan,Sumatera Utara,32.327413615,Polygon,Divaksin 1,3.623026342,98.666106626,"628,121","1,942,998","11,419,559"
Kota Tanjungbalai,Sumatera Utara,17.549721200,Polygon,Divaksin 1,2.959007385,99.796455307,"23,322","132,891","11,419,559"
Kota Yogyakarta,Yogyakarta,99.064840429,Polygon,Divaksin 1,-7.807243914,110.375524413,"293,648","296,420","2,879,699"
Kotamobagu,Sulawesi Utara,24.121620927,Polygon,Divaksin 1,0.725986431,124.309520058,"23,459","97,253","2,080,685"
Kotawaringin Barat,Kalimantan Tengah,23.571716695,Polygon,Divaksin 1,-2.680125349,111.695200174,"47,918","203,286","2,036,104"
Kotawaringin Timur,Kalimantan Tengah,14.859442638,Polygon,Divaksin 1,-2.403637000,112.851123403,"48,847","328,727","2,036,104"
Kuantan Singingi,Riau,15.269230322,Polygon,Divaksin 1,-0.380283779,101.537106878,"39,425","258,199","4,840,347"
Kubu Raya,Kalimantan Barat,14.069325099,MultiPolygon,Divaksin 1,-0.547727989,109.462328000,"60,876","432,686","3,872,477"
Kudus,Jawa Tengah,22.779786831,MultiPolygon,Divaksin 1,-6.765205286,110.864575130,"150,740","661,727","28,727,805"
Kulon Progo,Yogyakarta,21.568043884,Polygon,Divaksin 1,-7.757667814,110.161720128,"73,918","342,720","2,879,699"
Kuningan,Jawa Barat,13.417497419,Polygon,Divaksin 1,-6.983786648,108.581151595,"123,838","922,959","37,907,814"
Kupang,Nusa Tenggara Timur,35.955951334,MultiPolygon,Divaksin 1,-10.022135480,123.719167435,"221,146","615,047","3,831,439"
Kutai Barat,Kalimantan Timur,21.039764954,Polygon,Divaksin 1,0.342241730,115.064523035,"28,143","133,761","2,874,401"
Kutai Kartanegara,Kalimantan Timur,16.383422317,MultiPolygon,Divaksin 1,-0.593918745,117.378043302,"89,819","548,231","2,874,401"
Kutai Timur,Kalimantan Timur,11.547456140,MultiPolygon,Divaksin 1,0.765257354,117.627087095,"38,564","333,961","2,874,401"
Labuhanbatu,Sumatera Utara,8.853153986,MultiPolygon,Divaksin 1,2.262431389,99.979885110,"33,330","376,476","9,832,695"
Labuhanbatu Selatan,Sumatera Utara,5.792784696,MultiPolygon,Divaksin 1,1.694405108,100.004445269,"13,536","233,670","9,832,695"
Labuhanbatu Utara,Sumatera Utara,8.322765732,Polygon,Divaksin 1,2.334061689,99.617069716,"24,021","288,618","9,832,695"
Lahat,Sumatera Selatan,14.325941460,MultiPolygon,Divaksin 1,-3.928877585,103.340784807,"46,042","321,389","6,303,096"
Lake Toba,Sumatera Utara,,Polygon,Divaksin 1,2.595503378,98.815510009,,,
Lamandau,Kalimantan Tengah,22.446670976,Polygon,Divaksin 1,-1.810452215,111.138655161,"16,668","74,256","2,036,104"
Lamongan,Jawa Timur,15.912285634,MultiPolygon,Divaksin 1,-7.121915992,112.278466996,"169,234","1,063,543","31,826,206"
Lampung Barat,Lampung,8.209439381,MultiPolygon,Divaksin 1,-5.357860361,104.208430927,"18,095","220,417","6,645,226"
Lampung Selatan,Lampung,9.073743770,MultiPolygon,Divaksin 1,-5.652071926,105.523701406,"70,305","774,818","6,645,226"
Lampung Tengah,Lampung,5.145436510,Polygon,Divaksin 1,-4.802272141,105.297157723,"56,437","1,096,836","6,645,226"
Lampung Timur,Lampung,4.338332126,MultiPolygon,Divaksin 1,-5.113250922,105.590365503,"36,040","830,734","6,645,226"
Lampung Utara,Lampung,7.993047817,Polygon,Divaksin 1,-4.862479136,104.754503088,"36,653","458,561","6,645,226"
Landak,Kalimantan Barat,9.814931002,Polygon,Divaksin 1,0.421974111,109.722025849,"27,689","282,111","3,872,477"
Langkat,Sumatera Utara,7.326876513,MultiPolygon,Divaksin 1,3.855251599,98.284527782,"59,007","805,350","11,419,559"
Langsa,Aceh,24.380128464,MultiPolygon,Divaksin 1,4.481348945,97.978773328,"35,565","145,877","4,028,891"
Lanny Jaya,Papua,0.724966715,Polygon,Divaksin 1,-3.920307226,138.359107575,942,"129,937","2,175,921"
Lebak,Banten,6.350103566,MultiPolygon,Divaksin 1,-6.655285358,106.153802617,"67,630","1,065,022","9,229,383"
Lebong,Bengkulu,10.607011783,Polygon,Divaksin 1,-3.099110655,102.228728738,"8,786","82,832","1,553,792"
Lembata,Nusa Tenggara Timur,8.733054713,Polygon,Divaksin 1,-8.365646011,123.522733832,"8,233","94,274","3,831,439"
Lhokseumawe,Aceh,20.909499602,Polygon,Divaksin 1,5.182363318,97.111871041,"30,232","144,585","4,028,891"
Lima Puluh Kota,Sumatera Barat,10.852613346,Polygon,Divaksin 1,-0.097645030,100.620687613,"33,708","310,598","4,408,509"
Lingga,Kepulauan Riau,42.415791706,MultiPolygon,Divaksin 1,0.030414891,104.449318578,"33,005","77,813","1,581,035"
Lombok Barat,Nusa Tenggara Barat,10.135559525,MultiPolygon,Divaksin 1,-8.735447979,116.044338564,"53,736","530,173","3,910,638"
Lombok Tengah,Nusa Tenggara Barat,10.134427511,MultiPolygon,Divaksin 1,-8.776501993,116.283879525,"77,802","767,700","3,910,638"
Lombok Timur,Nusa Tenggara Barat,10.157275295,MultiPolygon,Divaksin 1,-8.664713522,116.535043219,"96,745","952,470","3,910,638"
Lombok Utara,Nusa Tenggara Barat,15.611795604,MultiPolygon,Divaksin 1,-8.342911061,116.281675208,"28,117","180,101","3,910,638"
Lubuklinggau,Sumatera Selatan,19.990089486,Polygon,Divaksin 1,-3.274336227,102.873875206,"34,290","171,535","6,303,096"
Lumajang,Jawa Timur,8.990709445,MultiPolygon,Divaksin 1,-8.087674933,113.149133919,"79,189","880,787","31,826,206"
Luwu,Sulawesi Selatan,19.825106064,MultiPolygon,Divaksin 1,-3.166884834,120.242517153,"55,748","281,199","7,058,141"
