Day of Tanggal,drilldownGeographic,Persentase_total_vaksin1_pendidik,Persentase_total_vaksin1_pendidik_kumulatif,Running Sum of TotalDivaksin1PerProvinsi/1000,Running Sum of Divaksin 1,Divaksin 1
"July 7, 2021",Bali,0.078942647,34.482387417,28.829,"28,829",66
"July 14, 2021",Bali,0.078942647,34.935709587,29.208,"29,208",66
"July 5, 2021",Bali,0.080138748,34.340051432,28.71,"28,710",67
"July 9, 2021",Bali,0.084923151,34.668979128,28.985,"28,985",71
"May 15, 2021",Bali,0.099276359,31.761258298,26.554,"26,554",83
"July 8, 2021",Bali,0.101668560,34.584055978,28.914,"28,914",85
"April 2, 2021",Bali,0.112433467,13.951318701,11.664,"11,664",94
"May 19, 2021",Bali,0.132767179,32.456192811,27.135,"27,135",111
"May 4, 2021",Bali,0.135159380,29.958734525,25.047,"25,047",113
"May 8, 2021",Bali,0.142335985,31.006518749,25.923,"25,923",119
"May 10, 2021",Bali,0.177022905,31.193110460,26.079,"26,079",148
"March 6, 2021",Bali,0.184199510,0.525088212,0.439,439,154
"May 12, 2021",Bali,0.221278632,31.658393637,26.468,"26,468",185
"May 3, 2021",Bali,0.223670833,29.823575145,24.934,"24,934",187
"May 11, 2021",Bali,0.244004545,31.437115005,26.283,"26,283",204
"May 18, 2021",Bali,0.254769452,32.323425632,27.024,"27,024",213
"May 5, 2021",Bali,0.261946056,30.220680581,25.266,"25,266",219
"April 30, 2021",Bali,0.270318761,29.575982298,24.727,"24,727",226
"April 28, 2021",Bali,0.275103164,28.959990431,24.212,"24,212",230
"March 5, 2021",Bali,0.283475869,0.340888703,0.285,285,237
"May 6, 2021",Bali,0.283475869,30.504156450,25.503,"25,503",237
"May 17, 2021",Bali,0.285868070,32.068656181,26.811,"26,811",239
"April 29, 2021",Bali,0.345673106,29.305663537,24.501,"24,501",289
"May 7, 2021",Bali,0.360026314,30.864182764,25.804,"25,804",301
"April 26, 2021",Bali,0.363614616,28.223192393,23.596,"23,596",304
"March 22, 2021",Bali,0.367202918,5.244901621,4.385,"4,385",307
"March 20, 2021",Bali,0.376771724,4.859757192,4.063,"4,063",315
"March 8, 2021",Bali,0.387536631,0.918605347,0.768,768,324
"March 19, 2021",Bali,0.443753364,4.482985467,3.748,"3,748",371
"April 16, 2021",Bali,0.447341666,23.262962741,19.449,"19,449",374
"April 27, 2021",Bali,0.461694875,28.684887268,23.982,"23,982",386
"March 16, 2021",Bali,0.470067580,3.065606124,2.563,"2,563",393
"March 12, 2021",Bali,0.472459781,2.590754141,2.166,"2,166",395
"March 18, 2021",Bali,0.485616889,4.039232103,3.377,"3,377",406
"March 17, 2021",Bali,0.488009090,3.553615214,2.971,"2,971",408
"March 24, 2021",Bali,0.513127205,6.333353268,5.295,"5,295",429
"April 17, 2021",Bali,0.531068716,23.794031457,19.893,"19,893",444
"March 9, 2021",Bali,0.534657018,1.453262365,1.215,"1,215",447
"March 30, 2021",Bali,0.563363435,12.366485258,10.339,"10,339",471
"March 23, 2021",Bali,0.575324442,5.820226063,4.866,"4,866",481
"March 10, 2021",Bali,0.615991867,2.069254231,1.73,"1,730",515
"March 31, 2021",Bali,0.703307218,13.069792477,10.927,"10,927",588
"April 22, 2021",Bali,0.754739549,27.845224568,23.28,"23,280",631
"April 1, 2021",Bali,0.769092758,13.838885234,11.57,"11,570",643
"April 5, 2021",Bali,0.898271634,15.825608516,13.231,"13,231",751
"April 9, 2021",Bali,0.909036541,20.627952874,17.246,"17,246",760
"April 12, 2021",Bali,0.948507864,22.813228874,19.073,"19,073",793
"April 3, 2021",Bali,0.950900066,14.902218767,12.459,"12,459",795
"April 19, 2021",Bali,1.004724598,24.816697566,20.748,"20,748",840
"March 29, 2021",Bali,1.031038813,11.803121823,9.868,"9,868",862
"April 20, 2021",Bali,1.083667245,25.900364811,21.654,"21,654",906
"April 7, 2021",Bali,1.173374798,18.311105795,15.309,"15,309",981
"April 21, 2021",Bali,1.190120208,27.090485019,22.649,"22,649",995
"April 10, 2021",Bali,1.224807129,21.852760002,18.27,"18,270","1,024"
"April 6, 2021",Bali,1.312122481,17.137730997,14.328,"14,328","1,097"
"March 27, 2021",Bali,1.374319718,10.748160995,8.986,"8,986","1,149"
"March 25, 2021",Bali,1.385084624,7.718437892,6.453,"6,453","1,158"
"April 8, 2021",Bali,1.407810538,19.718916333,16.486,"16,486","1,177"
"March 26, 2021",Bali,1.655403385,9.373841277,7.837,"7,837","1,384"
"February 19, 2021",Banten,0,0.006812354,0.014,14,0
"February 22, 2021",Banten,0,0.006812354,0.014,14,0
"February 28, 2021",Banten,0,2.621782988,5.388,"5,388",0
"April 18, 2021",Banten,0,22.436000370,46.108,"46,108",0
"May 12, 2021",Banten,0,27.633339659,56.789,"56,789",0
"May 13, 2021",Banten,0,27.633339659,56.789,"56,789",0
"May 15, 2021",Banten,0,27.633339659,56.789,"56,789",0
"January 27, 2021",Banten,0.000486597,0.001459790,0.003,3,1
"February 5, 2021",Banten,0.000486597,0.002919580,0.006,6,1
"February 8, 2021",Banten,0.000486597,0.003406177,0.007,7,1
"February 9, 2021",Banten,0.000486597,0.003892774,0.008,8,1
"May 2, 2021",Banten,0.000486597,25.406673187,52.213,"52,213",1
"June 20, 2021",Banten,0.000486597,36.614454841,75.246,"75,246",1
"January 25, 2021",Banten,0.000973193,0.000973193,0.002,2,2
"February 3, 2021",Banten,0.000973193,0.002432983,0.005,5,2
"May 1, 2021",Banten,0.000973193,25.406186590,52.212,"52,212",2
"June 1, 2021",Banten,0.000973193,31.751407481,65.252,"65,252",2
"June 6, 2021",Banten,0.000973193,33.209251176,68.248,"68,248",2
"June 27, 2021",Banten,0.000973193,37.803210565,77.689,"77,689",2
"February 17, 2021",Banten,0.001459790,0.005352564,0.011,11,3
"February 18, 2021",Banten,0.001459790,0.006812354,0.014,14,3
"February 23, 2021",Banten,0.001459790,0.008272144,0.017,17,3
"April 25, 2021",Banten,0.001459790,23.702611564,48.711,"48,711",3
"May 23, 2021",Banten,0.001459790,29.259545811,60.131,"60,131",3
"May 30, 2021",Banten,0.001459790,31.417115552,64.565,"64,565",3
"July 20, 2021",Banten,0.002432983,40.561240627,83.357,"83,357",5
"April 11, 2021",Banten,0.002919580,21.523144972,44.232,"44,232",6
"March 14, 2021",Banten,0.003406177,10.112452496,20.782,"20,782",7
"March 28, 2021",Banten,0.009245337,14.052912525,28.88,"28,880",19
"May 26, 2021",Banten,0.013624707,30.165102258,61.992,"61,992",28
"July 11, 2021",Banten,0.018977271,39.920392781,82.04,"82,040",39
"July 4, 2021",Banten,0.019463868,39.095124788,80.344,"80,344",40
"July 25, 2021",Banten,0.020437061,40.926188147,84.107,"84,107",42
"May 17, 2021",Banten,0.022870045,27.656209704,56.836,"56,836",47
"April 17, 2021",Banten,0.028222608,22.436000370,46.108,"46,108",58
"May 9, 2021",Banten,0.034548365,25.981343883,53.394,"53,394",71
"May 6, 2021",Banten,0.035521559,25.632454053,52.677,"52,677",73
"March 7, 2021",Banten,0.036008155,6.909186459,14.199,"14,199",74
"April 24, 2021",Banten,0.036494752,23.701151774,48.708,"48,708",75
"April 30, 2021",Banten,0.038927736,25.405213397,52.21,"52,210",80
"July 18, 2021",Banten,0.040874122,40.513554151,83.259,"83,259",84
"February 24, 2021",Banten,0.042333912,0.050606056,0.104,104,87
"March 11, 2021",Banten,0.043307106,9.832172800,20.206,"20,206",89
"July 19, 2021",Banten,0.045253493,40.558807643,83.352,"83,352",93
"June 13, 2021",Banten,0.048173073,35.005766171,71.94,"71,940",99
"May 4, 2021",Banten,0.049146266,25.515670847,52.437,"52,437",101
"March 21, 2021",Banten,0.050119459,12.603340973,25.901,"25,901",103
"April 13, 2021",Banten,0.055958620,22.134797016,45.489,"45,489",115
"April 2, 2021",Banten,0.058391603,18.781659197,38.598,"38,598",120
"July 17, 2021",Banten,0.058878200,40.472680029,83.175,"83,175",121
"May 3, 2021",Banten,0.059851393,25.466524580,52.336,"52,336",123
"July 24, 2021",Banten,0.059851393,40.905751086,84.065,"84,065",123
"April 16, 2021",Banten,0.072016311,22.407777762,46.05,"46,050",148
"July 10, 2021",Banten,0.072502907,39.901415510,82.001,"82,001",149
"July 26, 2021",Banten,0.076882278,41.003070425,84.265,"84,265",158
"May 5, 2021",Banten,0.081261648,25.596932494,52.604,"52,604",167
"June 12, 2021",Banten,0.084667825,34.957593098,71.841,"71,841",174
"July 23, 2021",Banten,0.085154421,40.845899693,83.942,"83,942",175
"July 27, 2021",Banten,0.086614212,41.089684637,84.443,"84,443",178
"July 21, 2021",Banten,0.087587405,40.648828032,83.537,"83,537",180
"July 13, 2021",Banten,0.088074002,40.106272718,82.422,"82,422",181
"March 13, 2021",Banten,0.090993582,10.109046319,20.775,"20,775",187
"April 14, 2021",Banten,0.097805936,22.232602952,45.69,"45,690",201
"July 12, 2021",Banten,0.097805936,40.018198716,82.241,"82,241",201
"July 16, 2021",Banten,0.097805936,40.413801829,83.054,"83,054",201
"July 15, 2021",Banten,0.102185306,40.315995893,82.853,"82,853",210
"May 18, 2021",Banten,0.102671902,27.758881606,57.047,"57,047",211
"June 28, 2021",Banten,0.102671902,37.905882467,77.9,"77,900",211
"April 15, 2021",Banten,0.103158499,22.335761451,45.902,"45,902",212
"July 29, 2021",Banten,0.105104886,41.354393238,84.987,"84,987",216
"July 14, 2021",Banten,0.107537869,40.213810587,82.643,"82,643",221
"June 5, 2021",Banten,0.108024466,33.208277983,68.246,"68,246",222
"June 26, 2021",Banten,0.109970853,37.802237372,77.687,"77,687",226
"June 11, 2021",Banten,0.111430643,34.872925273,71.667,"71,667",229
"July 22, 2021",Banten,0.111917240,40.760745271,83.767,"83,767",230
"March 1, 2021",Banten,0.122622367,2.744405355,5.64,"5,640",252
"May 8, 2021",Banten,0.122622367,25.946795517,53.323,"53,323",252
"July 7, 2021",Banten,0.123595560,39.544253536,81.267,"81,267",254
"July 2, 2021",Banten,0.129434721,38.945739603,80.037,"80,037",266
"July 3, 2021",Banten,0.129921317,39.075660920,80.304,"80,304",267
"July 9, 2021",Banten,0.138193461,39.828912602,81.852,"81,852",284
"June 25, 2021",Banten,0.144519218,37.692266519,77.461,"77,461",297
"June 19, 2021",Banten,0.145979008,36.613968245,75.245,"75,245",300
"July 8, 2021",Banten,0.146465605,39.690719141,81.568,"81,568",301
"July 6, 2021",Banten,0.150844975,39.420657976,81.013,"81,013",310
"June 30, 2021",Banten,0.157657329,38.611934271,79.351,"79,351",324
"June 10, 2021",Banten,0.159603716,34.761494630,71.438,"71,438",328
"July 28, 2021",Banten,0.159603716,41.249288352,84.771,"84,771",328
"April 19, 2021",Banten,0.166416069,22.602416439,46.45,"46,450",342
