Kabupaten (group),Provinsi,pencapaian vaksin,Geo_Kab,Dosis Vaksin,Latitude (generated),Longitude (generated),Dosis Vaksin,Peserta Vaksinasi,Target
Cirebon,Jawa Barat,13.708058335,MultiPolygon,Divaksin 1,-6.781799709,108.591521806,"280,352","2,045,162","37,907,814"
Dairi,Sumatera Utara,15.239332254,MultiPolygon,Divaksin 1,2.884715582,98.273409714,"35,785","234,820","11,419,559"
Danau,Sumatera Barat,,Polygon,Divaksin 1,-0.611721684,100.530336222,,,
Danau Limboto,Gorontalo,,Polygon,Divaksin 1,0.572360495,122.996061561,,,
Deiyai,Papua,1.375455975,Polygon,Divaksin 1,-4.254859446,136.436857869,822,"59,762","2,583,771"
Deli Serdang,Sumatera Utara,12.065432388,Polygon,Divaksin 1,3.560807632,98.686497440,"179,520","1,487,887","11,419,559"
Demak,Jawa Tengah,20.772743382,Polygon,Divaksin 1,-6.944996864,110.603507613,"192,834","928,303","28,727,805"
Denpasar,Bali,110.987210183,MultiPolygon,Divaksin 1,-8.694554325,115.223941231,"634,606","571,783","3,405,130"
Depok,Jawa Barat,17.463715258,Polygon,Divaksin 1,-6.393184435,106.825330550,"281,787","1,613,557","37,907,814"
Dharmasraya,Sumatera Barat,24.672955589,Polygon,Divaksin 1,-1.181358264,101.541503017,"44,228","179,257","4,408,509"
Dogiyai,Papua,1.903404682,Polygon,Divaksin 1,-4.128162367,135.825590262,"1,349","70,873","2,583,771"
Dompu,Nusa Tenggara Barat,12.417821135,MultiPolygon,Divaksin 1,-8.506926104,118.191042406,"21,665","174,467","3,910,638"
Donggala,Sulawesi Tengah,5.820357494,MultiPolygon,Divaksin 1,-0.249318982,119.810015275,"12,481","214,437","2,135,907"
Dumai,Riau,43.309695075,Polygon,Divaksin 1,1.853005415,101.319162200,"102,236","236,058","4,840,347"
Empat Lawang,Sumatera Selatan,8.379034399,Polygon,Divaksin 1,-3.750950954,102.971683216,"22,093","263,670","6,303,096"
Ende,Nusa Tenggara Timur,7.476690578,MultiPolygon,Divaksin 1,-8.651413445,121.745408905,"15,228","203,673","3,248,595"
Enrekang,Sulawesi Selatan,15.947587454,Polygon,Divaksin 1,-3.459794507,119.876943712,"27,859","174,691","7,058,141"
Fakfak,Papua Barat,17.864537638,MultiPolygon,Divaksin 1,-3.044955505,132.522122690,"10,181","56,990","797,402"
Flores Timur,Nusa Tenggara Timur,7.183061237,MultiPolygon,Divaksin 1,-8.359306361,122.945094582,"14,625","203,604","3,831,439"
Garut,Jawa Barat,9.344429652,Polygon,Divaksin 1,-7.276388158,107.833873143,"184,806","1,977,713","37,907,814"
Gayo Lues,Aceh,19.046213696,Polygon,Divaksin 1,4.030882671,97.447774827,"14,198","74,545","4,028,891"
Gianyar,Bali,80.573621275,Polygon,Divaksin 1,-8.479613018,115.291300705,"332,396","412,537","3,405,130"
Gorontalo,Gorontalo,22.369816106,MultiPolygon,Divaksin 1,0.621264744,122.893950970,"106,549","476,307","938,409"
